	var_id	condition	coef	std err	t	pval	Conf. Int. Low	Conf. Int. Upp.	padj
0	GXE_00023	COCL	-0.004217204313548443	0.0030977607186529026	-1.3613718736101552	0.173409889026094	-0.010289031737999544	0.0018546231109026583	0.9518838303820788
1	GXE_00023	P4SC	0.003912262791658705	0.003502902647193791	1.1168631234421706	0.2640648297976183	-0.0029536711167752246	0.010778196700092635	0.9985690428731739
2	GXE_00024	COCL	0.002618524826065753	0.005211538651671988	0.5024475497702904	0.6153576761615052	-0.007596455019946843	0.012833504672078349	0.9985690428731739
3	GXE_00024	P4SC	-0.00731373491298889	0.005279759372803641	-1.3852401968662398	0.16599282287900663	-0.017662432138458452	0.003034962312480672	0.9320789403937716
4	GXE_00026	COCL	-0.0008620106032744317	0.007280874606947953	-0.11839382626530018	0.9057566785687814	-0.015133033489664662	0.013409012283115798	0.9985690428731739
5	GXE_00026	P4SC	-0.006779057318212739	0.007285988876473324	-0.930423780923207	0.352161734195823	-0.02106010453016601	0.007501989893740532	0.9985690428731739
6	GXE_00027	COCL	-0.0003576576094083831	0.004514806041859706	-0.07921882049689545	0.9368592824629466	-0.009206992865025613	0.008491677646208845	0.9985690428731739
7	GXE_00027	P4SC	-0.0015291886602894454	0.0050131530508896495	-0.30503530308496585	0.7603420980329602	-0.011355318869145356	0.008296941548566465	0.9985690428731739
8	GXE_00033	COCL	0.020635969093236454	0.01260010457436105	1.637761732170616	0.10148544882607734	-0.004061116141554234	0.045333054328027145	0.7563951437684613
9	GXE_00033	P4SC	-0.003699348158125778	0.010007777021800333	-0.3696473402702062	0.7116487663939232	-0.02331529028459945	0.015916593968347895	0.9985690428731739
10	GXE_00034	COCL	-0.0006512638689628029	0.01505423238521076	-0.04326118079607983	0.9654937209477544	-0.03015861106340069	0.028856083325475082	0.9985690428731739
11	GXE_00034	P4SC	-0.007483409482711618	0.014658107278010252	-0.5105304075607396	0.6096849464619791	-0.036214323792927376	0.021247504827504142	0.9985690428731739
12	GXE_00035	COCL	-0.009611043642774509	0.02098440040246678	-0.45800897135210505	0.6469504373016315	-0.05074193444468507	0.031519847159136055	0.9985690428731739
13	GXE_00035	P4SC	0.0020102815957016122	0.015094504084589773	0.13317970464189954	0.8940524571620401	-0.027576000942982317	0.03159656413438554	0.9985690428731739
