baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ergosterol_001_001_UMI_1	110.166519128883	0.0188855787340729	0.0116892257868899	1.61563982751142	0.106172207645954	0.27087730210149
ergosterol_001_001_UMI_2	28.7570887855821	-0.0132013056921801	0.0200028489446206	-0.659971273528532	0.509272264087234	0.713120473737834
ergosterol_001_001_UMI_4	34.6158585173399	-0.0379491855991525	0.0219551305182046	-1.72848827146283	0.0839007219709332	0.230364482300704
ergosterol_001_001_UMI_14	30.1018724959446	0.00587839933185901	0.0286899440150723	0.204894067718319	0.83765489017199	0.920337832551849
ergosterol_001_002_UMI_1	84.8535515207855	-0.0113503607242014	0.0146797287075925	-0.773199624481541	0.439404248362019	0.656816084483426
ergosterol_001_002_UMI_2	129.200012950556	0.0363519663342992	0.00785371586022803	4.62863273656092	3.6808789811427e-06	9.16688091128092e-05
ergosterol_001_002_UMI_4	121.689388581431	0.0211980997816217	0.0104024515516268	2.0377984628351	0.0415700921738138	0.14367877506962
ergosterol_001_002_UMI_6	60.8739503999882	-0.0145194493263812	0.0140638839761649	-1.03239257028773	0.301888251056451	0.528247111538106
ergosterol_001_002_UMI_13	91.6831165329482	0.0556623606330517	0.0165684769786236	3.35953393331604	0.000780740624618873	0.00776066287545912
ergosterol_001_002_UMI_14	65.3746528118972	-0.0453757460872529	0.0122864015378971	-3.69316808890646	0.0002214775235763	0.0028988702286844
ergosterol_001_003_UMI_1	368.83017733109	0.00669721432322977	0.0076567356949566	0.874682709452952	0.381746570627955	0.606830256646057
ergosterol_001_003_UMI_2	390.774471699613	-0.00724815678694463	0.00504398445830118	-1.43699030932102	0.150720747109427	0.339439404677946
ergosterol_001_003_UMI_4	477.084099678373	0.0335805306227916	0.017196444483826	1.95276009842474	0.0508480286664224	0.163619501827574
ergosterol_001_003_UMI_6	362.49866930279	-0.00912261902869944	0.00611140239938101	-1.49272105361994	0.13551021994198	0.318049897032361
ergosterol_001_003_UMI_13	218.998048226302	-0.00660849549733505	0.00757445752984777	-0.872471126980875	0.382951412814767	0.607716489000546
ergosterol_001_003_UMI_14	299.464674675797	0.00390846383470249	0.00673302602008959	0.580491419911441	0.561583271157241	0.752754402850087
ergosterol_001_004_UMI_1	64.65114990956	-0.0308396321738567	0.0152860760928085	-2.01749827664181	0.0436435406926242	0.148505688963141
ergosterol_001_004_UMI_2	32.642369511065	-0.0325533494495171	0.01859908075515	-1.75026657919657	0.0800723249795311	0.223177991084056
ergosterol_001_004_UMI_4	55.3005944158455	0.0254487844190761	0.0157243557216905	1.618430978636	0.10556975033883	0.269802375397905
ergosterol_001_004_UMI_6	43.9707403029817	-0.0385016720839491	0.0165074840281455	-2.33237675822088	0.0196808796902535	0.0861108575051478
ergosterol_001_004_UMI_14	52.2505086538562	-0.00286815956851161	0.0129906466740986	-0.220786512054884	0.82525866625742	0.913764236989785
ergosterol_001_005_UMI_1	220.373638381971	0.00232022634099554	0.00830941534998684	0.279228591094465	0.780069403370783	0.88795237248305
